USERID,VALUE,TRGPROGID,TRGPROG,TRGPROG_NAME
User_21,8.30,CCS02_DECISIONMAKING,CCS02,DECISIONMAKING
User_21,8.30,CCS10_DEVELOPINGPEOPLE,CCS10,DEVELOPINGPEOPLE
User_21,8.30,CCS13_DIGITALFLUENCY,CCS13,DIGITALFLUENCY
User_21,8.30,CCS15_LEARNINGAGILITY,CCS15,LEARNINGAGILITY
User_94,8.70,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_94,8.70,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_94,8.70,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_65,8.90,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_65,8.90,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_65,8.90,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_14,9.40,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_14,9.40,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_14,9.40,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_43,9.80,TSC02_PROJECTMANAGEMENT,TSC02,PROJECTMANAGEMENT
User_43,9.80,TSC10_QUALITATIVERESEARCHMETHODS,TSC10,QUALITATIVERESEARCHMETHODS
User_43,9.80,CCS02_DECISIONMAKING,CCS02,DECISIONMAKING
User_43,9.80,CCS10_DEVELOPINGPEOPLE,CCS10,DEVELOPINGPEOPLE
User_43,9.80,CCS13_DIGITALFLUENCY,CCS13,DIGITALFLUENCY
User_43,9.80,CCS15_LEARNINGAGILITY,CCS15,LEARNINGAGILITY
User_71,9.90,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_71,9.90,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_71,9.90,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_93,11.10,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_93,11.10,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_93,11.10,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_33,11.90,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_33,11.90,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_33,11.90,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_32,12.00,TSC02_PROJECTMANAGEMENT,TSC02,PROJECTMANAGEMENT
User_32,12.00,TSC10_QUALITATIVERESEARCHMETHODS,TSC10,QUALITATIVERESEARCHMETHODS
User_32,12.00,CCS02_DECISIONMAKING,CCS02,DECISIONMAKING
User_32,12.00,CCS10_DEVELOPINGPEOPLE,CCS10,DEVELOPINGPEOPLE
User_32,12.00,CCS13_DIGITALFLUENCY,CCS13,DIGITALFLUENCY
User_32,12.00,CCS15_LEARNINGAGILITY,CCS15,LEARNINGAGILITY
User_101,12.40,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_101,12.40,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_101,12.40,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_105,12.60,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_105,12.60,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_105,12.60,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_55,12.90,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_55,12.90,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_55,12.90,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_14,13.00,TSC02_PROJECTMANAGEMENT,TSC02,PROJECTMANAGEMENT
User_14,13.00,TSC10_QUALITATIVERESEARCHMETHODS,TSC10,QUALITATIVERESEARCHMETHODS
User_14,13.00,CCS02_DECISIONMAKING,CCS02,DECISIONMAKING
User_14,13.00,CCS10_DEVELOPINGPEOPLE,CCS10,DEVELOPINGPEOPLE
User_14,13.00,CCS13_DIGITALFLUENCY,CCS13,DIGITALFLUENCY
User_14,13.00,CCS15_LEARNINGAGILITY,CCS15,LEARNINGAGILITY
User_75,13.10,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_75,13.10,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_75,13.10,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_16,13.90,TSC02_PROJECTMANAGEMENT,TSC02,PROJECTMANAGEMENT
User_16,13.90,TSC10_QUALITATIVERESEARCHMETHODS,TSC10,QUALITATIVERESEARCHMETHODS
User_16,13.90,CCS02_DECISIONMAKING,CCS02,DECISIONMAKING
User_16,13.90,CCS10_DEVELOPINGPEOPLE,CCS10,DEVELOPINGPEOPLE
User_16,13.90,CCS13_DIGITALFLUENCY,CCS13,DIGITALFLUENCY
User_16,13.90,CCS15_LEARNINGAGILITY,CCS15,LEARNINGAGILITY
User_125,14.50,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_125,14.50,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_125,14.50,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_115,14.70,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_107,14.70,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_115,14.70,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_107,14.70,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_115,14.70,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_107,14.70,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_64,14.80,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_64,14.80,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_64,14.80,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_132,15.10,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_132,15.10,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_132,15.10,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_11,15.30,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_11,15.30,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_11,15.30,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_78,15.40,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_78,15.40,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_78,15.40,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_140,15.50,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_140,15.50,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_140,15.50,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_129,15.70,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_129,15.70,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_129,15.70,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_88,16.30,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_88,16.30,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_88,16.30,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_18,16.60,TSC02_PROJECTMANAGEMENT,TSC02,PROJECTMANAGEMENT
User_18,16.60,TSC10_QUALITATIVERESEARCHMETHODS,TSC10,QUALITATIVERESEARCHMETHODS
User_18,16.60,CCS02_DECISIONMAKING,CCS02,DECISIONMAKING
User_18,16.60,CCS10_DEVELOPINGPEOPLE,CCS10,DEVELOPINGPEOPLE
User_18,16.60,CCS13_DIGITALFLUENCY,CCS13,DIGITALFLUENCY
User_18,16.60,CCS15_LEARNINGAGILITY,CCS15,LEARNINGAGILITY
User_143,16.80,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_143,16.80,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_143,16.80,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_44,17.40,TSC02_PROJECTMANAGEMENT,TSC02,PROJECTMANAGEMENT
User_44,17.40,TSC10_QUALITATIVERESEARCHMETHODS,TSC10,QUALITATIVERESEARCHMETHODS
User_07,17.40,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_07,17.40,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_44,17.40,CCS02_DECISIONMAKING,CCS02,DECISIONMAKING
User_44,17.40,CCS10_DEVELOPINGPEOPLE,CCS10,DEVELOPINGPEOPLE
User_44,17.40,CCS13_DIGITALFLUENCY,CCS13,DIGITALFLUENCY
User_07,17.40,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_44,17.40,CCS15_LEARNINGAGILITY,CCS15,LEARNINGAGILITY
User_36,17.50,TSC02_PROJECTMANAGEMENT,TSC02,PROJECTMANAGEMENT
User_36,17.50,TSC10_QUALITATIVERESEARCHMETHODS,TSC10,QUALITATIVERESEARCHMETHODS
User_36,17.50,CCS02_DECISIONMAKING,CCS02,DECISIONMAKING
User_36,17.50,CCS10_DEVELOPINGPEOPLE,CCS10,DEVELOPINGPEOPLE
User_36,17.50,CCS13_DIGITALFLUENCY,CCS13,DIGITALFLUENCY
User_36,17.50,CCS15_LEARNINGAGILITY,CCS15,LEARNINGAGILITY
User_08,18.10,TSC02_PROJECTMANAGEMENT,TSC02,PROJECTMANAGEMENT
User_08,18.10,TSC10_QUALITATIVERESEARCHMETHODS,TSC10,QUALITATIVERESEARCHMETHODS
User_100,18.10,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_100,18.10,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_08,18.10,CCS02_DECISIONMAKING,CCS02,DECISIONMAKING
User_08,18.10,CCS10_DEVELOPINGPEOPLE,CCS10,DEVELOPINGPEOPLE
User_08,18.10,CCS13_DIGITALFLUENCY,CCS13,DIGITALFLUENCY
User_100,18.10,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_08,18.10,CCS15_LEARNINGAGILITY,CCS15,LEARNINGAGILITY
User_47,18.30,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_47,18.30,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_47,18.30,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_87,18.40,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_87,18.40,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_87,18.40,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_59,18.50,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_59,18.50,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_59,18.50,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_21,18.70,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_21,18.70,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_21,18.70,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_15,18.80,TSC02_PROJECTMANAGEMENT,TSC02,PROJECTMANAGEMENT
User_15,18.80,TSC10_QUALITATIVERESEARCHMETHODS,TSC10,QUALITATIVERESEARCHMETHODS
User_15,18.80,CCS02_DECISIONMAKING,CCS02,DECISIONMAKING
User_15,18.80,CCS10_DEVELOPINGPEOPLE,CCS10,DEVELOPINGPEOPLE
User_15,18.80,CCS13_DIGITALFLUENCY,CCS13,DIGITALFLUENCY
User_15,18.80,CCS15_LEARNINGAGILITY,CCS15,LEARNINGAGILITY
User_48,18.90,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_48,18.90,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_48,18.90,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_67,19.10,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_67,19.10,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_67,19.10,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_109,19.80,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_109,19.80,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_109,19.80,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_89,19.90,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_89,19.90,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_89,19.90,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_35,20.00,TSC02_PROJECTMANAGEMENT,TSC02,PROJECTMANAGEMENT
User_35,20.00,TSC10_QUALITATIVERESEARCHMETHODS,TSC10,QUALITATIVERESEARCHMETHODS
User_35,20.00,CCS02_DECISIONMAKING,CCS02,DECISIONMAKING
User_35,20.00,CCS10_DEVELOPINGPEOPLE,CCS10,DEVELOPINGPEOPLE
User_35,20.00,CCS13_DIGITALFLUENCY,CCS13,DIGITALFLUENCY
User_35,20.00,CCS15_LEARNINGAGILITY,CCS15,LEARNINGAGILITY
User_38,20.20,TSC02_PROJECTMANAGEMENT,TSC02,PROJECTMANAGEMENT
User_38,20.20,TSC10_QUALITATIVERESEARCHMETHODS,TSC10,QUALITATIVERESEARCHMETHODS
User_38,20.20,CCS02_DECISIONMAKING,CCS02,DECISIONMAKING
User_38,20.20,CCS10_DEVELOPINGPEOPLE,CCS10,DEVELOPINGPEOPLE
User_38,20.20,CCS13_DIGITALFLUENCY,CCS13,DIGITALFLUENCY
User_38,20.20,CCS15_LEARNINGAGILITY,CCS15,LEARNINGAGILITY
User_07,20.30,TSC02_PROJECTMANAGEMENT,TSC02,PROJECTMANAGEMENT
User_07,20.30,TSC10_QUALITATIVERESEARCHMETHODS,TSC10,QUALITATIVERESEARCHMETHODS
User_07,20.30,CCS02_DECISIONMAKING,CCS02,DECISIONMAKING
User_07,20.30,CCS10_DEVELOPINGPEOPLE,CCS10,DEVELOPINGPEOPLE
User_07,20.30,CCS13_DIGITALFLUENCY,CCS13,DIGITALFLUENCY
User_07,20.30,CCS15_LEARNINGAGILITY,CCS15,LEARNINGAGILITY
User_03,20.40,TSC02_PROJECTMANAGEMENT,TSC02,PROJECTMANAGEMENT
User_03,20.40,TSC10_QUALITATIVERESEARCHMETHODS,TSC10,QUALITATIVERESEARCHMETHODS
User_92,20.40,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_92,20.40,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_03,20.40,CCS02_DECISIONMAKING,CCS02,DECISIONMAKING
User_03,20.40,CCS10_DEVELOPINGPEOPLE,CCS10,DEVELOPINGPEOPLE
User_03,20.40,CCS13_DIGITALFLUENCY,CCS13,DIGITALFLUENCY
User_92,20.40,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_03,20.40,CCS15_LEARNINGAGILITY,CCS15,LEARNINGAGILITY
User_17,20.60,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_17,20.60,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_17,20.60,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_27,20.70,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_27,20.70,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_27,20.70,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_29,20.80,TSC02_PROJECTMANAGEMENT,TSC02,PROJECTMANAGEMENT
User_29,20.80,TSC10_QUALITATIVERESEARCHMETHODS,TSC10,QUALITATIVERESEARCHMETHODS
User_29,20.80,CCS02_DECISIONMAKING,CCS02,DECISIONMAKING
User_29,20.80,CCS10_DEVELOPINGPEOPLE,CCS10,DEVELOPINGPEOPLE
User_29,20.80,CCS13_DIGITALFLUENCY,CCS13,DIGITALFLUENCY
User_29,20.80,CCS15_LEARNINGAGILITY,CCS15,LEARNINGAGILITY
User_134,21.00,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_28,21.00,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_05,21.00,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_29,21.00,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_134,21.00,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_28,21.00,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_05,21.00,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_29,21.00,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_134,21.00,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_28,21.00,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_05,21.00,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_29,21.00,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_79,21.10,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_79,21.10,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_79,21.10,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_27,21.20,TSC02_PROJECTMANAGEMENT,TSC02,PROJECTMANAGEMENT
User_27,21.20,TSC10_QUALITATIVERESEARCHMETHODS,TSC10,QUALITATIVERESEARCHMETHODS
User_27,21.20,CCS02_DECISIONMAKING,CCS02,DECISIONMAKING
User_27,21.20,CCS10_DEVELOPINGPEOPLE,CCS10,DEVELOPINGPEOPLE
User_27,21.20,CCS13_DIGITALFLUENCY,CCS13,DIGITALFLUENCY
User_27,21.20,CCS15_LEARNINGAGILITY,CCS15,LEARNINGAGILITY
User_144,21.40,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_144,21.40,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_144,21.40,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_19,21.50,TSC02_PROJECTMANAGEMENT,TSC02,PROJECTMANAGEMENT
User_19,21.50,TSC10_QUALITATIVERESEARCHMETHODS,TSC10,QUALITATIVERESEARCHMETHODS
User_81,21.50,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_81,21.50,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_19,21.50,CCS02_DECISIONMAKING,CCS02,DECISIONMAKING
User_19,21.50,CCS10_DEVELOPINGPEOPLE,CCS10,DEVELOPINGPEOPLE
User_19,21.50,CCS13_DIGITALFLUENCY,CCS13,DIGITALFLUENCY
User_81,21.50,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_19,21.50,CCS15_LEARNINGAGILITY,CCS15,LEARNINGAGILITY
User_10,21.80,TSC02_PROJECTMANAGEMENT,TSC02,PROJECTMANAGEMENT
User_10,21.80,TSC10_QUALITATIVERESEARCHMETHODS,TSC10,QUALITATIVERESEARCHMETHODS
User_10,21.80,CCS02_DECISIONMAKING,CCS02,DECISIONMAKING
User_10,21.80,CCS10_DEVELOPINGPEOPLE,CCS10,DEVELOPINGPEOPLE
User_10,21.80,CCS13_DIGITALFLUENCY,CCS13,DIGITALFLUENCY
User_10,21.80,CCS15_LEARNINGAGILITY,CCS15,LEARNINGAGILITY
User_20,22.00,TSC02_PROJECTMANAGEMENT,TSC02,PROJECTMANAGEMENT
User_20,22.00,TSC10_QUALITATIVERESEARCHMETHODS,TSC10,QUALITATIVERESEARCHMETHODS
User_20,22.00,CCS02_DECISIONMAKING,CCS02,DECISIONMAKING
User_20,22.00,CCS10_DEVELOPINGPEOPLE,CCS10,DEVELOPINGPEOPLE
User_20,22.00,CCS13_DIGITALFLUENCY,CCS13,DIGITALFLUENCY
User_20,22.00,CCS15_LEARNINGAGILITY,CCS15,LEARNINGAGILITY
User_41,22.10,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_41,22.10,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_41,22.10,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_146,22.20,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_01,22.20,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_146,22.20,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_01,22.20,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_146,22.20,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_01,22.20,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_99,22.50,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_99,22.50,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_99,22.50,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_118,22.70,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_118,22.70,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_118,22.70,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_26,22.90,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_26,22.90,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_26,22.90,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_06,23.30,TSC02_PROJECTMANAGEMENT,TSC02,PROJECTMANAGEMENT
User_06,23.30,TSC10_QUALITATIVERESEARCHMETHODS,TSC10,QUALITATIVERESEARCHMETHODS
User_53,23.30,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_53,23.30,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_06,23.30,CCS02_DECISIONMAKING,CCS02,DECISIONMAKING
User_06,23.30,CCS10_DEVELOPINGPEOPLE,CCS10,DEVELOPINGPEOPLE
User_06,23.30,CCS13_DIGITALFLUENCY,CCS13,DIGITALFLUENCY
User_53,23.30,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
User_06,23.30,CCS15_LEARNINGAGILITY,CCS15,LEARNINGAGILITY
User_34,23.50,TSC02_PROJECTMANAGEMENT,TSC02,PROJECTMANAGEMENT
User_34,23.50,TSC10_QUALITATIVERESEARCHMETHODS,TSC10,QUALITATIVERESEARCHMETHODS
User_34,23.50,CCS02_DECISIONMAKING,CCS02,DECISIONMAKING
User_34,23.50,CCS10_DEVELOPINGPEOPLE,CCS10,DEVELOPINGPEOPLE
User_34,23.50,CCS13_DIGITALFLUENCY,CCS13,DIGITALFLUENCY
User_34,23.50,CCS15_LEARNINGAGILITY,CCS15,LEARNINGAGILITY
User_147,23.60,TSC01_DATACOLLECTIONANDANALYSIS,TSC01,DATACOLLECTIONANDANALYSIS
User_147,23.60,CCS01_CREATIVETHINKING,CCS01,CREATIVETHINKING
User_147,23.60,CCS14_GLOBALPERSPECTIVE,CCS14,GLOBALPERSPECTIVE
